exposure,age,low,central,high
184.3,25+,3.244087078543103,3.8109742054489657,4.476921871382005
184.4,25+,3.2446778831282947,3.811763240529895,4.477960378565093
184.5,25+,3.245268251086106,3.812551712123408,4.478998169951117
184.6,25+,3.245858183035597,3.813339621009688,4.480035246506896
184.7,25+,3.2464476795950534,3.8141269679680105,4.481071609198224
184.8,25+,3.2470367413819843,3.814913753776746,4.482107258989864
184.9,25+,3.247625369013122,3.8156999792133552,4.483142196845541
185,25+,3.248213563104424,3.8164856450543914,4.484176423727955
185.1,25+,3.248801324271069,3.817270752075495,4.48520994059876
185.2,25+,3.249388653127465,3.8180553010514062,4.48624274841859
185.3,25+,3.2499755502872376,3.818839292755944,4.487274848147027
185.4,25+,3.2505620163632383,3.8196227279620234,4.488306240742624
185.5,25+,3.251148051967544,3.82040560744165,4.489336927162894
185.6,25+,3.25173365771145,3.8211879319659112,4.490366908364305
185.7,25+,3.2523188342054783,3.821969702304989,4.4913961853022935
185.8,25+,3.2529035820593735,3.822750919228149,4.492424758931244
185.9,25+,3.253487901882101,3.823531583503744,4.4934526302045
186,25+,3.2540717942818524,3.824311695899217,4.494479800074369
186.1,25+,3.254655259866039,3.825091257181092,4.495506269492102
186.2,25+,3.2552382992412943,3.825870268114981,4.496532039407911
186.3,25+,3.255820913013479,3.826648729465584,4.497557110770959
186.4,25+,3.256403101787672,3.8274266419966834,4.498581484529363
186.5,25+,3.256984866168175,3.828204006471144,4.499605161630185
186.6,25+,3.257566206758514,3.8289808236509177,4.500628143019443
186.7,25+,3.258147124161437,3.8297570942970407,4.501650429642104
186.8,25+,3.2587276189789107,3.830532819169629,4.502672022442077
186.9,25+,3.259307691812132,3.831307999027888,4.50369292236223
187,25+,3.25988734326151,3.832082634630094,4.504713130344362
187.1,25+,3.260466573926686,3.832856726733619,4.505732647329232
187.2,25+,3.261045384406515,3.833630276094909,4.506751474256535
187.3,25+,3.2616237752990793,3.834403283469492,4.5077696120649104
187.4,25+,3.262201747201685,3.835175749611981,4.508787061691948
187.5,25+,3.2627793007108528,3.835947675276065,4.509803824074169
187.6,25+,3.263356436422334,3.836719061214517,4.510819900147043
187.7,25+,3.2639331549310984,3.8374899081791902,4.511835290844982
187.8,25+,3.2645094568313375,3.838260216921017,4.512849997101333
187.9,25+,3.2650853427164668,3.83902998819001,4.513864019848382
188,25+,3.2656608131791223,3.8397992227352566,4.514877360017355
188.1,25+,3.266235868811165,3.840567921304933,4.515890018538415
188.2,25+,3.2668105102036753,3.8413360846462847,4.516901996340665
188.3,25+,3.2673847379469603,3.842103713505644,4.51791329435214
188.4,25+,3.267958552630543,3.8428708086284113,4.518923913499808
188.5,25+,3.2685319548431777,3.8436373707590783,4.519933854709581
188.6,25+,3.269104945172834,3.844403400641206,4.520943118906297
188.7,25+,3.2696775242067075,3.8451688990174335,4.521951707013728
188.8,25+,3.270249692531218,3.8459338666294807,4.522959619954583
188.9,25+,3.2708214507320035,3.8466983042181417,4.523966858650497
189,25+,3.2713927993939302,3.84746221252329,4.5249734240220425
189.1,25+,3.2719637391010847,3.8482255922838737,4.525979316988717
189.2,25+,3.272534270436777,3.848988444237922,4.526984538468951
189.3,25+,3.2731043939835422,3.849750769122537,4.527989089380106
189.4,25+,3.2736741103231353,3.850512567673897,4.528992970638469
